,Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2001 Australian Standard Population 
(per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)",,ICD-10 codes
36957,Incidence,Melanoma of the skin,1984,Females,Queensland,504,45.4,49.6, ,C43
36958,Incidence,Melanoma of the skin,1984,Females,Western Australia,174,28.8,31.7, ,C43
36959,Incidence,Melanoma of the skin,1984,Females,South Australia,160,24.2,27, ,C43
36960,Incidence,Melanoma of the skin,1984,Females,Tasmania,35,18.2,21, ,C43
36961,Incidence,Melanoma of the skin,1984,Females,Australian Capital Territory,0,. .,. ., ,C43
36962,Incidence,Melanoma of the skin,1984,Females,Northern Territory,0,. .,. ., ,C43
36963,Incidence,Melanoma of the skin,1984,Females,Australia,2050,28.8,31.5, ,C43
36964,Incidence,Melanoma of the skin,1984,Persons,New South Wales,1500,30.9,34.7, ,C43
36965,Incidence,Melanoma of the skin,1984,Persons,Victoria,745,20.4,22.8, ,C43
36966,Incidence,Melanoma of the skin,1984,Persons,Queensland,1039,48.4,54.2, ,C43
36967,Incidence,Melanoma of the skin,1984,Persons,Western Australia,347,29.8,33.5, ,C43
36968,Incidence,Melanoma of the skin,1984,Persons,South Australia,284,22.8,25.6, ,C43
36969,Incidence,Melanoma of the skin,1984,Persons,Tasmania,66,18.1,20.9, ,C43
36970,Incidence,Melanoma of the skin,1984,Persons,Australian Capital Territory,0,. .,. ., ,C43
36971,Incidence,Melanoma of the skin,1984,Persons,Northern Territory,0,. .,. ., ,C43
36972,Incidence,Melanoma of the skin,1984,Persons,Australia,4044,29.6,33.2, ,C43
36973,Incidence,Melanoma of the skin,1985,Males,New South Wales,831,36,41.9, ,C43
36974,Incidence,Melanoma of the skin,1985,Males,Victoria,396,23.2,26.6, ,C43
36975,Incidence,Melanoma of the skin,1985,Males,Queensland,547,51.4,60, ,C43
36976,Incidence,Melanoma of the skin,1985,Males,Western Australia,212,38.7,44.7, ,C43
36977,Incidence,Melanoma of the skin,1985,Males,South Australia,165,27.1,30.6, ,C43
36978,Incidence,Melanoma of the skin,1985,Males,Tasmania,31,16,18.3, ,C43
36979,Incidence,Melanoma of the skin,1985,Males,Australian Capital Territory,0,. .,. ., ,C43
36980,Incidence,Melanoma of the skin,1985,Males,Northern Territory,0,. .,. ., ,C43
36981,Incidence,Melanoma of the skin,1985,Males,Australia,2224,33.9,39.2, ,C43
36982,Incidence,Melanoma of the skin,1985,Females,New South Wales,780,30,32.8, ,C43
36983,Incidence,Melanoma of the skin,1985,Females,Victoria,472,24.6,26.7, ,C43
36984,Incidence,Melanoma of the skin,1985,Females,Queensland,540,46.9,50.6, ,C43
36985,Incidence,Melanoma of the skin,1985,Females,Western Australia,208,34.3,37, ,C43
36986,Incidence,Melanoma of the skin,1985,Females,South Australia,198,29.9,33.4, ,C43
36987,Incidence,Melanoma of the skin,1985,Females,Tasmania,49,24.5,26.2, ,C43
36988,Incidence,Melanoma of the skin,1985,Females,Australian Capital Territory,0,. .,. ., ,C43
36989,Incidence,Melanoma of the skin,1985,Females,Northern Territory,0,. .,. ., ,C43
36990,Incidence,Melanoma of the skin,1985,Females,Australia,2288,31.4,34.1, ,C43
36991,Incidence,Melanoma of the skin,1985,Persons,New South Wales,1611,32.3,36.5, ,C43
36992,Incidence,Melanoma of the skin,1985,Persons,Victoria,868,23.6,26.2, ,C43
36993,Incidence,Melanoma of the skin,1985,Persons,Queensland,1087,48.4,54.2, ,C43
36994,Incidence,Melanoma of the skin,1985,Persons,Western Australia,420,35.8,39.9, ,C43
36995,Incidence,Melanoma of the skin,1985,Persons,South Australia,363,28.6,32.2, ,C43
36996,Incidence,Melanoma of the skin,1985,Persons,Tasmania,80,20.4,22.5, ,C43
36997,Incidence,Melanoma of the skin,1985,Persons,Australian Capital Territory,0,. .,. ., ,C43
36998,Incidence,Melanoma of the skin,1985,Persons,Northern Territory,0,. .,. ., ,C43
36999,Incidence,Melanoma of the skin,1985,Persons,Australia,4512,32.1,36, ,C43
37000,Incidence,Melanoma of the skin,1986,Males,New South Wales,915,38.4,44.6, ,C43
37001,Incidence,Melanoma of the skin,1986,Males,Victoria,376,21.2,24.3, ,C43
37002,Incidence,Melanoma of the skin,1986,Males,Queensland,639,58.9,68.2, ,C43
37003,Incidence,Melanoma of the skin,1986,Males,Western Australia,226,38.8,44.6, ,C43
37004,Incidence,Melanoma of the skin,1986,Males,South Australia,168,27.4,31.9, ,C43
37005,Incidence,Melanoma of the skin,1986,Males,Tasmania,33,17.6,19.4, ,C43
37006,Incidence,Melanoma of the skin,1986,Males,Australian Capital Territory,30,32.8,36.1, ,C43
37007,Incidence,Melanoma of the skin,1986,Males,Northern Territory,6,13.5,15, ,C43
37008,Incidence,Melanoma of the skin,1986,Males,Australia,2404,35.6,41.2, ,C43
37009,Incidence,Melanoma of the skin,1986,Females,New South Wales,787,29.9,33, ,C43
37010,Incidence,Melanoma of the skin,1986,Females,Victoria,452,23,25.5, ,C43
37011,Incidence,Melanoma of the skin,1986,Females,Queensland,598,50.7,54.7, ,C43
37012,Incidence,Melanoma of the skin,1986,Females,Western Australia,184,28.4,30.4, ,C43
37013,Incidence,Melanoma of the skin,1986,Females,South Australia,188,28.4,31.1, ,C43
37014,Incidence,Melanoma of the skin,1986,Females,Tasmania,54,26.7,28.8, ,C43
37015,Incidence,Melanoma of the skin,1986,Females,Australian Capital Territory,27,25.9,26.9, ,C43
37016,Incidence,Melanoma of the skin,1986,Females,Northern Territory,5,10.1,10.2, ,C43
37017,Incidence,Melanoma of the skin,1986,Females,Australia,2305,31.1,33.9, ,C43
37018,Incidence,Melanoma of the skin,1986,Persons,New South Wales,1702,33.5,37.9, ,C43
37019,Incidence,Melanoma of the skin,1986,Persons,Victoria,828,22,24.8, ,C43
37020,Incidence,Melanoma of the skin,1986,Persons,Queensland,1237,53.9,60.1, ,C43
37021,Incidence,Melanoma of the skin,1986,Persons,Western Australia,410,33,36.7, ,C43
37022,Incidence,Melanoma of the skin,1986,Persons,South Australia,356,27.6,31.1, ,C43
37023,Incidence,Melanoma of the skin,1986,Persons,Tasmania,87,22.1,24.1, ,C43
37024,Incidence,Melanoma of the skin,1986,Persons,Australian Capital Territory,57,28.9,30.9, ,C43
37025,Incidence,Melanoma of the skin,1986,Persons,Northern Territory,11,11.9,12.8, ,C43
37026,Incidence,Melanoma of the skin,1986,Persons,Australia,4709,32.8,36.8, ,C43
37027,Incidence,Melanoma of the skin,1987,Males,New South Wales,1105,45,51.9, ,C43
37028,Incidence,Melanoma of the skin,1987,Males,Victoria,481,26.1,29.4, ,C43
37029,Incidence,Melanoma of the skin,1987,Males,Queensland,738,65.1,75.6, ,C43
37030,Incidence,Melanoma of the skin,1987,Males,Western Australia,267,44.3,51.2, ,C43
37031,Incidence,Melanoma of the skin,1987,Males,South Australia,185,30.4,35.6, ,C43
37032,Incidence,Melanoma of the skin,1987,Males,Tasmania,45,21.9,24.3, ,C43
37033,Incidence,Melanoma of the skin,1987,Males,Australian Capital Territory,36,37.5,41, ,C43
37034,Incidence,Melanoma of the skin,1987,Males,Northern Territory,8,15.9,17.6, ,C43
37035,Incidence,Melanoma of the skin,1987,Males,Australia,2877,41.2,47.4, ,C43
37036,Incidence,Melanoma of the skin,1987,Females,New South Wales,1004,37.4,40.8, ,C43
37037,Incidence,Melanoma of the skin,1987,Females,Victoria,516,25.9,28.4, ,C43
37038,Incidence,Melanoma of the skin,1987,Females,Queensland,629,51.3,55.8, ,C43
37039,Incidence,Melanoma of the skin,1987,Females,Western Australia,214,32.1,34.6, ,C43
37040,Incidence,Melanoma of the skin,1987,Females,South Australia,201,29.3,33, ,C43
37041,Incidence,Melanoma of the skin,1987,Females,Tasmania,68,33.1,35, ,C43
37042,Incidence,Melanoma of the skin,1987,Females,Australian Capital Territory,33,30.6,31.6, ,C43
37043,Incidence,Melanoma of the skin,1987,Females,Northern Territory,5,9,9, ,C43
37044,Incidence,Melanoma of the skin,1987,Females,Australia,2685,35.3,38.5, ,C43
37045,Incidence,Melanoma of the skin,1987,Persons,New South Wales,2109,40.6,45.5, ,C43
37046,Incidence,Melanoma of the skin,1987,Persons,Victoria,997,25.9,28.9, ,C43
37047,Incidence,Melanoma of the skin,1987,Persons,Queensland,1367,57.2,64.2, ,C43
37048,Incidence,Melanoma of the skin,1987,Persons,Western Australia,481,37.6,41.9, ,C43
37049,Incidence,Melanoma of the skin,1987,Persons,South Australia,386,29.6,34.1, ,C43
37050,Incidence,Melanoma of the skin,1987,Persons,Tasmania,113,27.5,29.6, ,C43
37051,Incidence,Melanoma of the skin,1987,Persons,Australian Capital Territory,69,33.6,35.7, ,C43
37052,Incidence,Melanoma of the skin,1987,Persons,Northern Territory,13,12.8,13.8, ,C43
37053,Incidence,Melanoma of the skin,1987,Persons,Australia,5562,37.8,42.3, ,C43
37054,Incidence,Melanoma of the skin,1988,Males,New South Wales,1226,49.8,57.9, ,C43
37055,Incidence,Melanoma of the skin,1988,Males,Victoria,562,31.4,35.7, ,C43
37056,Incidence,Melanoma of the skin,1988,Males,Queensland,753,64.8,74.3, ,C43
37057,Incidence,Melanoma of the skin,1988,Males,Western Australia,298,48.5,57.7, ,C43
37058,Incidence,Melanoma of the skin,1988,Males,South Australia,231,37.9,42.9, ,C43
37059,Incidence,Melanoma of the skin,1988,Males,Tasmania,62,30.7,34.3, ,C43
37060,Incidence,Melanoma of the skin,1988,Males,Australian Capital Territory,40,42.5,46.9, ,C43
37061,Incidence,Melanoma of the skin,1988,Males,Northern Territory,10,17.7,19.2, ,C43
37062,Incidence,Melanoma of the skin,1988,Males,Australia,3199,45.7,52.7, ,C43
37063,Incidence,Melanoma of the skin,1988,Females,New South Wales,1042,37.8,41.8, ,C43
37064,Incidence,Melanoma of the skin,1988,Females,Victoria,564,27.5,30.2, ,C43
37065,Incidence,Melanoma of the skin,1988,Females,Queensland,615,48.5,52.9, ,C43
37066,Incidence,Melanoma of the skin,1988,Females,Western Australia,250,37.7,41.1, ,C43
37067,Incidence,Melanoma of the skin,1988,Females,South Australia,227,33,36.1, ,C43
37068,Incidence,Melanoma of the skin,1988,Females,Tasmania,68,32.4,35.7, ,C43
37069,Incidence,Melanoma of the skin,1988,Females,Australian Capital Territory,35,33.2,34.9, ,C43
37070,Incidence,Melanoma of the skin,1988,Females,Northern Territory,8,14.8,15.8, ,C43
37071,Incidence,Melanoma of the skin,1988,Females,Australia,2820,36.1,39.7, ,C43
37072,Incidence,Melanoma of the skin,1988,Persons,New South Wales,2268,42.9,48.6, ,C43
37073,Incidence,Melanoma of the skin,1988,Persons,Victoria,1126,28.9,32.2, ,C43
37074,Incidence,Melanoma of the skin,1988,Persons,Queensland,1368,56,62.6, ,C43
37075,Incidence,Melanoma of the skin,1988,Persons,Western Australia,548,42,47.7, ,C43
37076,Incidence,Melanoma of the skin,1988,Persons,South Australia,458,34.9,38.7, ,C43
37077,Incidence,Melanoma of the skin,1988,Persons,Tasmania,130,31.8,35.3, ,C43
37078,Incidence,Melanoma of the skin,1988,Persons,Australian Capital Territory,76,37.3,40.2, ,C43
37079,Incidence,Melanoma of the skin,1988,Persons,Northern Territory,17,17,18.5, ,C43
37080,Incidence,Melanoma of the skin,1988,Persons,Australia,6019,40.2,45.2, ,C43
37081,Incidence,Melanoma of the skin,1989,Males,New South Wales,1215,48.3,56.8, ,C43
37082,Incidence,Melanoma of the skin,1989,Males,Victoria,548,29.9,35.2, ,C43
37083,Incidence,Melanoma of the skin,1989,Males,Queensland,746,62.8,72.8, ,C43
37084,Incidence,Melanoma of the skin,1989,Males,Western Australia,263,41.9,49.7, ,C43
37085,Incidence,Melanoma of the skin,1989,Males,South Australia,236,38.7,45.7, ,C43
37086,Incidence,Melanoma of the skin,1989,Males,Tasmania,53,28.1,32.1, ,C43
37087,Incidence,Melanoma of the skin,1989,Males,Australian Capital Territory,41,42,46.5, ,C43
37088,Incidence,Melanoma of the skin,1989,Males,Northern Territory,11,18.8,20.5, ,C43
37089,Incidence,Melanoma of the skin,1989,Males,Australia,3109,43.7,51.3, ,C43
37090,Incidence,Melanoma of the skin,1989,Females,New South Wales,892,31.9,35.1, ,C43
37091,Incidence,Melanoma of the skin,1989,Females,Victoria,561,27,30, ,C43
37092,Incidence,Melanoma of the skin,1989,Females,Queensland,638,49.5,54.6, ,C43
37093,Incidence,Melanoma of the skin,1989,Females,Western Australia,222,31.3,34.9, ,C43
37094,Incidence,Melanoma of the skin,1989,Females,South Australia,199,28.4,30.9, ,C43
37095,Incidence,Melanoma of the skin,1989,Females,Tasmania,62,27.3,29.7, ,C43
37096,Incidence,Melanoma of the skin,1989,Females,Australian Capital Territory,38,34.6,36.6, ,C43
37097,Incidence,Melanoma of the skin,1989,Females,Northern Territory,8,15.3,16.2, ,C43
37098,Incidence,Melanoma of the skin,1989,Females,Australia,2617,32.9,36.2, ,C43
37099,Incidence,Melanoma of the skin,1989,Persons,New South Wales,2107,39,44.5, ,C43
37100,Incidence,Melanoma of the skin,1989,Persons,Victoria,1109,27.9,31.8, ,C43
37101,Incidence,Melanoma of the skin,1989,Persons,Queensland,1384,55.4,62.5, ,C43
37102,Incidence,Melanoma of the skin,1989,Persons,Western Australia,485,35.9,41.3, ,C43
37103,Incidence,Melanoma of the skin,1989,Persons,South Australia,435,32.4,36.7, ,C43
37104,Incidence,Melanoma of the skin,1989,Persons,Tasmania,115,27.2,29.9, ,C43
37105,Incidence,Melanoma of the skin,1989,Persons,Australian Capital Territory,79,37.8,40.8, ,C43
37106,Incidence,Melanoma of the skin,1989,Persons,Northern Territory,19,17.7,19.2, ,C43
37107,Incidence,Melanoma of the skin,1989,Persons,Australia,5726,37.4,42.5, ,C43
37108,Incidence,Melanoma of the skin,1990,Males,New South Wales,1168,46.8,55.4, ,C43
37109,Incidence,Melanoma of the skin,1990,Males,Victoria,579,31.4,36.3, ,C43
37110,Incidence,Melanoma of the skin,1990,Males,Queensland,765,62.9,73.8, ,C43
37111,Incidence,Melanoma of the skin,1990,Males,Western Australia,297,45.9,53.9, ,C43
37112,Incidence,Melanoma of the skin,1990,Males,South Australia,221,33.6,37.3, ,C43
37113,Incidence,Melanoma of the skin,1990,Males,Tasmania,66,32.1,36.9, ,C43
37114,Incidence,Melanoma of the skin,1990,Males,Australian Capital Territory,42,44.6,50.8, ,C43
37115,Incidence,Melanoma of the skin,1990,Males,Northern Territory,13,25.7,28.7, ,C43
37116,Incidence,Melanoma of the skin,1990,Males,Australia,3151,43.7,51.1, ,C43
37117,Incidence,Melanoma of the skin,1990,Females,New South Wales,944,33.1,36.9, ,C43
37118,Incidence,Melanoma of the skin,1990,Females,Victoria,522,24.9,27.7, ,C43
37119,Incidence,Melanoma of the skin,1990,Females,Queensland,630,47.3,52.5, ,C43
37120,Incidence,Melanoma of the skin,1990,Females,Western Australia,216,31,34.8, ,C43
37121,Incidence,Melanoma of the skin,1990,Females,South Australia,247,34,38.1, ,C43
37122,Incidence,Melanoma of the skin,1990,Females,Tasmania,85,38,42, ,C43
37123,Incidence,Melanoma of the skin,1990,Females,Australian Capital Territory,38,34.2,36.6, ,C43
37124,Incidence,Melanoma of the skin,1990,Females,Northern Territory,9,15.1,15.9, ,C43
37125,Incidence,Melanoma of the skin,1990,Females,Australia,2687,33.1,37, ,C43
37126,Incidence,Melanoma of the skin,1990,Persons,New South Wales,2112,38.9,44.6, ,C43
37127,Incidence,Melanoma of the skin,1990,Persons,Victoria,1101,27.6,31.4, ,C43
37128,Incidence,Melanoma of the skin,1990,Persons,Queensland,1395,54.1,61.6, ,C43
37129,Incidence,Melanoma of the skin,1990,Persons,Western Australia,513,37.8,43.5, ,C43
37130,Incidence,Melanoma of the skin,1990,Persons,South Australia,468,33.9,38, ,C43
37131,Incidence,Melanoma of the skin,1990,Persons,Tasmania,151,34.8,39.2, ,C43
37132,Incidence,Melanoma of the skin,1990,Persons,Australian Capital Territory,80,38.6,42.7, ,C43
37133,Incidence,Melanoma of the skin,1990,Persons,Northern Territory,22,20.9,22.9, ,C43
37134,Incidence,Melanoma of the skin,1990,Persons,Australia,5838,37.7,43, ,C43
37135,Incidence,Melanoma of the skin,1991,Males,New South Wales,1151,44.9,53, ,C43
37136,Incidence,Melanoma of the skin,1991,Males,Victoria,558,28.8,33.3, ,C43
37137,Incidence,Melanoma of the skin,1991,Males,Queensland,771,60.5,70, ,C43
37138,Incidence,Melanoma of the skin,1991,Males,Western Australia,336,51.1,59.5, ,C43
37139,Incidence,Melanoma of the skin,1991,Males,South Australia,235,38.6,46, ,C43
37140,Incidence,Melanoma of the skin,1991,Males,Tasmania,75,37.7,44.3, ,C43
37141,Incidence,Melanoma of the skin,1991,Males,Australian Capital Territory,42,44.3,51, ,C43
37142,Incidence,Melanoma of the skin,1991,Males,Northern Territory,15,29.1,32.4, ,C43
37143,Incidence,Melanoma of the skin,1991,Males,Australia,3185,43.1,50.4, ,C43
37144,Incidence,Melanoma of the skin,1991,Females,New South Wales,959,33.2,36.9, ,C43
37145,Incidence,Melanoma of the skin,1991,Females,Victoria,571,26.5,29.6, ,C43
37146,Incidence,Melanoma of the skin,1991,Females,Queensland,644,46.5,51.3, ,C43
37147,Incidence,Melanoma of the skin,1991,Females,Western Australia,268,36.9,41.2, ,C43
37148,Incidence,Melanoma of the skin,1991,Females,South Australia,225,30.7,34.5, ,C43
37149,Incidence,Melanoma of the skin,1991,Females,Tasmania,68,31.4,33.8, ,C43
37150,Incidence,Melanoma of the skin,1991,Females,Australian Capital Territory,38,32.6,35.4, ,C43
37151,Incidence,Melanoma of the skin,1991,Females,Northern Territory,10,18.2,20.4, ,C43
37152,Incidence,Melanoma of the skin,1991,Females,Australia,2782,33.6,37.3, ,C43
37153,Incidence,Melanoma of the skin,1991,Persons,New South Wales,2110,38.1,43.7, ,C43
37154,Incidence,Melanoma of the skin,1991,Persons,Victoria,1129,27.4,31.1, ,C43
37155,Incidence,Melanoma of the skin,1991,Persons,Queensland,1415,52.9,59.7, ,C43
37156,Incidence,Melanoma of the skin,1991,Persons,Western Australia,604,43.1,49.1, ,C43
37157,Incidence,Melanoma of the skin,1991,Persons,South Australia,460,33.5,38.5, ,C43
37158,Incidence,Melanoma of the skin,1991,Persons,Tasmania,143,34,38.3, ,C43
37159,Incidence,Melanoma of the skin,1991,Persons,Australian Capital Territory,79,37.5,42, ,C43
37160,Incidence,Melanoma of the skin,1991,Persons,Northern Territory,26,24.4,27.4, ,C43
37161,Incidence,Melanoma of the skin,1991,Persons,Australia,5967,37.7,42.9, ,C43
37162,Incidence,Melanoma of the skin,1992,Males,New South Wales,1200,45.7,54.5, ,C43
37163,Incidence,Melanoma of the skin,1992,Males,Victoria,711,37.4,44.3, ,C43
37164,Incidence,Melanoma of the skin,1992,Males,Queensland,886,68.9,81.6, ,C43
37165,Incidence,Melanoma of the skin,1992,Males,Western Australia,357,53.1,63.6, ,C43
37166,Incidence,Melanoma of the skin,1992,Males,South Australia,296,45.5,53.4, ,C43
37167,Incidence,Melanoma of the skin,1992,Males,Tasmania,69,31,34.9, ,C43
37168,Incidence,Melanoma of the skin,1992,Males,Australian Capital Territory,40,44,52.3, ,C43
37169,Incidence,Melanoma of the skin,1992,Males,Northern Territory,19,39.8,46, ,C43
37170,Incidence,Melanoma of the skin,1992,Males,Australia,3586,47.8,56.7, ,C43
37171,Incidence,Melanoma of the skin,1992,Females,New South Wales,978,33.5,37.4, ,C43
37172,Incidence,Melanoma of the skin,1992,Females,Victoria,667,30.2,34.1, ,C43
37173,Incidence,Melanoma of the skin,1992,Females,Queensland,687,48.9,54.5, ,C43
37174,Incidence,Melanoma of the skin,1992,Females,Western Australia,254,33.4,37.5, ,C43
37175,Incidence,Melanoma of the skin,1992,Females,South Australia,286,38.4,42.9, ,C43
37176,Incidence,Melanoma of the skin,1992,Females,Tasmania,58,25.2,27.7, ,C43
37177,Incidence,Melanoma of the skin,1992,Females,Australian Capital Territory,36,30.7,33.5, ,C43
37178,Incidence,Melanoma of the skin,1992,Females,Northern Territory,12,19.2,21, ,C43
37179,Incidence,Melanoma of the skin,1992,Females,Australia,2980,35.4,39.6, ,C43
37180,Incidence,Melanoma of the skin,1992,Persons,New South Wales,2178,38.8,44.9, ,C43
37181,Incidence,Melanoma of the skin,1992,Persons,Victoria,1378,33.1,38.1, ,C43
37182,Incidence,Melanoma of the skin,1992,Persons,Queensland,1573,57.7,66.3, ,C43
37183,Incidence,Melanoma of the skin,1992,Persons,Western Australia,611,41.9,48.5, ,C43
37184,Incidence,Melanoma of the skin,1992,Persons,South Australia,582,41.3,47.1, ,C43
37185,Incidence,Melanoma of the skin,1992,Persons,Tasmania,127,28,31.2, ,C43
37186,Incidence,Melanoma of the skin,1992,Persons,Australian Capital Territory,76,36,41, ,C43
37187,Incidence,Melanoma of the skin,1992,Persons,Northern Territory,31,30.2,34.4, ,C43
37188,Incidence,Melanoma of the skin,1992,Persons,Australia,6566,40.7,46.8, ,C43
37189,Incidence,Melanoma of the skin,1993,Males,New South Wales,1428,54,64.7, ,C43
37190,Incidence,Melanoma of the skin,1993,Males,Victoria,653,34.1,41.5, ,C43
37191,Incidence,Melanoma of the skin,1993,Males,Queensland,861,65.6,77.5, ,C43
37192,Incidence,Melanoma of the skin,1993,Males,Western Australia,383,55.1,64.9, ,C43
37193,Incidence,Melanoma of the skin,1993,Males,South Australia,266,39.8,46.1, ,C43
37194,Incidence,Melanoma of the skin,1993,Males,Tasmania,68,33.7,41.7, ,C43
37195,Incidence,Melanoma of the skin,1993,Males,Australian Capital Territory,38,38.7,45.8, ,C43
37196,Incidence,Melanoma of the skin,1993,Males,Northern Territory,19,37.5,43.1, ,C43
37197,Incidence,Melanoma of the skin,1993,Males,Australia,3712,48.9,58.3, ,C43
37198,Incidence,Melanoma of the skin,1993,Females,New South Wales,1052,35.5,40, ,C43
